\,,,,,,,,,,,,,,,,,,,,Web Exclusive: Apoca-Blitz Eternal Dragon Combo Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Make new entries by COPY and INSERTING whole ROW (Autobuilder needs the calculations from the right-side of doc,,,,,,,,,,,,,,,,,,,,Rabid Roster Pack I: Coin + TP!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Autobuilder formula will need to be updated if more than 10 items are required in offer,,,,,,,,,,,,,,,,,,,,Rabid Roster Pack II: 4SG Token!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Rabid Roster Pack III: SNATCH IT ALL UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Creepin' It Real Apoca-Blitz Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gate,,,oct2022_live,,,,,,,,,,,,,,,,,Creepin' It Real Apoca-Blitz Special - 3X VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offer Section ID,,,Section_Oct2022_Special,,,,,,,,,,,,,,,,,Tokens of Terror Apoca-Blitz Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Paralyzing Prize Wall Combo,,,,Data Formatting and Checks,,,,,,,Offer Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,The Graveyard Pack,,,,*itemID check,*schedule,*schedule,*items,*loc data1,*loc data2,*art format,offerid,gate,Platform,Global Offer,Offer Type,Alternative CostID,Alternative Cost Amount,Weight,Offer Section,Combination Type,Is Nested,Price,Tag,Stock Quantity,Offer Priority,Show Stock,Featured,Show in Store,Start Times,End Times,Repeat Weekly,Restock,Items,Store Image Name,Store Image Tagline,Store Image Description,Store Item Image,Description Text,Badge Text,Layout Type,Background Image,Enable Glow Effect,Item Images,Item Texts
PIVOTS,,,,,,,,,,,,,,,,,,,,The Graveyard Special - X4 VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Design
Complete",Offer ID,Tag,Start DATE,"Start TIME
HH:MM (UTC)",End DATE,"End TIME
HH:MM (UTC)",Offer Type,Price,"Price
Display",Discount,Offer Name Loc,Offer Desc Loc,,Pack Value,EV,Special Notes,"Display
*Current data used as placeholder data for CSV upload.",,,Paralyzing Points Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,20_oct2022_wk3_mon_pivot,,6/1/2021,19:00,6/2/2021,19:00,Standard,$20,NoCashOffer1999,0.00%,Villainous Value Special,template 1 description goes here,,$0.00,0.00%,League Segmentation,Loc Name,!!OFFERS_20_OCT2022_WK3_MON_PIVOT,,Twisted Turnbuckle Pack,,,,,"06/01/2021,19:00","06/02/2021,19:00",,!!OFFERS_20_OCT2022_WK3_MON_PIVOT,Villainous Value Special,,20_oct2022_wk3_mon_pivot,oct2022_live,both,yes,Standard,,,100,Section_Oct2022_Special,Banner,no,NoCashOffer1999,,1,,yes,yes,yes,"06/01/2021,19:00;06/02/2021,19:00;06/03/2021,19:00;06/04/2021,19:00;06/05/2021,19:00;06/06/2021,19:00;06/07/2021,19:00","06/02/2021,19:00;06/03/2021,19:00;06/04/2021,19:00;06/05/2021,19:00;06/06/2021,19:00;06/07/2021,19:00;06/08/2021,19:00","false,false,false,false,false,false,false","true,true,true,true,true,true,true",":7,:10000000,:1,:1",!!OFFERS_20_OCT2022_WK3_MON_PIVOT,!!OFFERS_20_OCT2022_WK3_MON_PIVOT_DESC,!!OFFERS_20_OCT2022_WK3_MON_PIVOT_DESC,UI/Store/20_oct2022_wk3_mon_pivot,!!BLANK,,BGAndItemsCentered,UI/StoreV2/OfferBGs/Offer_Banner_MT0622_LootCoin5,no,UI/Currency/Currency_Blank,x1
,Platform,Popup,Multi Schedule,,,,Alt Currency ID,Alt Price,Stock,$20.00,Item Name,Item ID,Qty,Item Value,Total Value,,Loc Desc,!!OFFERS_20_OCT2022_WK3_MON_PIVOT_DESC,,Eerie Evo Pack,,,,,";06/02/2021,19:00",";06/03/2021,19:00",,!!OFFERS_20_OCT2022_WK3_MON_PIVOT_DESC,template 1 description goes here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,both,FALSE,6/2/2021,19:00,6/3/2021,19:00,,,1,,Undead Uprising Loot Coin,,7,,$0.00,,Desc Text,!!BLANK,,Undead Uprising Radioactive Roster Pack,,,,,";06/03/2021,19:00",";06/04/2021,19:00",:7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combo Type,Offer Weight,6/3/2021,19:00,6/4/2021,19:00,,,Show Stock,,coin,,"10,000,000",,$0.00,,Badge Text,,,Undead Uprising Contest Craving Pack,,,,,";06/04/2021,19:00",";06/05/2021,19:00",:10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banner,100,6/4/2021,19:00,6/5/2021,19:00,,,TRUE,,tp1000,,1,,$0.00,,BG Image,Offer_Banner_MT0622_LootCoin5,,Undead Uprising Roster Revenge Special,,,,,";06/05/2021,19:00",";06/06/2021,19:00",:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/5/2021,19:00,6/6/2021,19:00,,,,,,,,,$0.00,,Art 1,Solo Points,,Undead Uprising Contest Curse Special,,,,,";06/06/2021,19:00",";06/07/2021,19:00",:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/6/2021,19:00,6/7/2021,19:00,,,,,Rey Mysterio Zombie Shard Bag,,1,,$0.00,,Art 2,,,Web Exclusive: Undead Uprising Chaotic Contest Special,,,,,";06/07/2021,19:00",";06/08/2021,19:00",:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/7/2021,19:00,6/8/2021,19:00,,,,,,,,,$0.00,,Art 3,,,Web Exclusive: Undead Uprising Contest Blowout Special,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$0.00,,Art 4,,,Web Exclusive: Undead Uprising Spellbinding Special,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$0.00,,,,,Web Exclusive: The Graveyard Special,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$0.00,,,,,Web Exclusive: Dead Style Has Arrived Fuse-Up Special,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$0.00,,,,,Token Thursday Special,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Undead Uprising SpiderWEB Finale Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Design
Complete",Offer ID,Tag,Start DATE,"Start TIME
HH:MM (UTC)",End DATE,"End TIME
HH:MM (UTC)",Offer Type,Price,"Price
Display",Discount,Offer Name Loc,Offer Desc Loc,,Pack Value,EV,Special Notes,"Display
*Current data used as placeholder data for CSV upload.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,100_oct2022_wk3_mon_pivot,,6/1/2021,19:00,6/2/2021,19:00,Standard,$100,NoCashOffer_9999_New,81.00%,Heads Will Roll Special,template 1 description goes here,,$100.00,100.00%,League Segmentation,Loc Name,!!OFFERS_100_OCT2022_WK3_MON_PIVOT,,,,,,,"06/01/2021,19:00","06/02/2021,19:00",,!!OFFERS_100_OCT2022_WK3_MON_PIVOT,Heads Will Roll Special,,100_oct2022_wk3_mon_pivot,oct2022_live,both,yes,Standard,,,100,Section_Oct2022_Special,Banner,no,NoCashOffer_9999_New,,1,,yes,yes,yes,"06/01/2021,19:00;06/02/2021,19:00;06/03/2021,19:00;06/04/2021,19:00;06/05/2021,19:00;06/06/2021,19:00;06/07/2021,19:00","06/02/2021,19:00;06/03/2021,19:00;06/04/2021,19:00;06/05/2021,19:00;06/06/2021,19:00;06/07/2021,19:00;06/08/2021,19:00","false,false,false,false,false,false,false","true,true,true,true,true,true,true",":40,:30000000,:3,:100,:3",!!OFFERS_100_OCT2022_WK3_MON_PIVOT,!!OFFERS_100_OCT2022_WK3_MON_PIVOT_DESC,!!OFFERS_100_OCT2022_WK3_MON_PIVOT_DESC,UI/Store/100_oct2022_wk3_mon_pivot,!!BLANK,,BGAndItemsCentered,UI/StoreV2/OfferBGs/Offer_Banner_MT0622_LootCoin5,no,UI/Currency/Currency_Blank,x1
,Platform,Popup,Multi Schedule,,,,Alt Currency ID,Alt Price,Stock,$526.32,Item Name,Item ID,Qty,Item Value,Total Value,,Loc Desc,!!OFFERS_100_OCT2022_WK3_MON_PIVOT_DESC,,,,,,,";06/02/2021,19:00",";06/03/2021,19:00",,!!OFFERS_100_OCT2022_WK3_MON_PIVOT_DESC,template 1 description goes here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,both,FALSE,6/2/2021,19:00,6/3/2021,19:00,,,1,,Undead Uprising Loot Coin,,40,,$0.00,,Desc Text,!!BLANK,,,,,,,";06/03/2021,19:00",";06/04/2021,19:00",:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combo Type,Offer Weight,6/3/2021,19:00,6/4/2021,19:00,,,Show Stock,,coin,,"30,000,000",,$0.00,,Badge Text,,,,,,,,";06/04/2021,19:00",";06/05/2021,19:00",:30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banner,100,6/4/2021,19:00,6/5/2021,19:00,,,TRUE,,5se token,,3,,$0.00,,BG Image,Offer_Banner_MT0622_LootCoin5,,,,,,,";06/05/2021,19:00",";06/06/2021,19:00",:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/5/2021,19:00,6/6/2021,19:00,,,,,Shard_HHogan_Zombie,,100,$1.00,$100.00,,Art 1,Solo Points,,,,,,,";06/06/2021,19:00",";06/07/2021,19:00",:100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/6/2021,19:00,6/7/2021,19:00,,,,,Rey Mysterio Zombie Shard Bag,,3,,$0.00,,Art 2,,,,,,,,";06/07/2021,19:00",";06/08/2021,19:00",:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/7/2021,19:00,6/8/2021,19:00,,,,,,,,,$0.00,,Art 3,,,,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$0.00,,Art 4,,,,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,